Race,Gender,Type,Variant,Name
Dragonborn,Male,First,,Arjhan
Dragonborn,Male,First,,Balasar
Dragonborn,Male,First,,Bharash
Dragonborn,Male,First,,Donaar
Dragonborn,Male,First,,Ghesh
Dragonborn,Male,First,,Heskan
Dragonborn,Male,First,,Kriv
Dragonborn,Male,First,,Medrash
Dragonborn,Male,First,,Mehen
Dragonborn,Male,First,,Nadarr
Dragonborn,Male,First,,Pandjed
Dragonborn,Male,First,,Patrin
Dragonborn,Male,First,,Rhogar
Dragonborn,Male,First,,Shamash
Dragonborn,Male,First,,Shedinn
Dragonborn,Male,First,,Tarhun
Dragonborn,Male,First,,Torinn
Dragonborn,Female,First,,Akra
Dragonborn,Female,First,,Biri
Dragonborn,Female,First,,Daar
Dragonborn,Female,First,,Farideh
Dragonborn,Female,First,,Harann
Dragonborn,Female,First,,HaviJar
Dragonborn,Female,First,,Jheri
Dragonborn,Female,First,,Kava
Dragonborn,Female,First,,Korinn
Dragonborn,Female,First,,Mishann
Dragonborn,Female,First,,NaJa
Dragonborn,Female,First,,Perra
Dragonborn,Female,First,,Raiann
Dragonborn,Female,First,,Sora
Dragonborn,Female,First,,Surina
Dragonborn,Female,First,,Thava
Dragonborn,Female,First,,Uadjit
Dragonborn,Neutral,First,Child,Climber
Dragonborn,Neutral,First,Child,Earbender
Dragonborn,Neutral,First,Child,Leaper
Dragonborn,Neutral,First,Child,Pious
Dragonborn,Neutral,First,Child,Shieldbiter
Dragonborn,Neutral,First,Child,Zealous
Dragonborn,Neutral,Last,,Clethtinthiallor
Dragonborn,Neutral,Last,,Daardendrian
Dragonborn,Neutral,Last,,Delmirev
Dragonborn,Neutral,Last,,Drachedandion
Dragonborn,Neutral,Last,,Fenkenkabradon
Dragonborn,Neutral,Last,,Kepeshkmolik
Dragonborn,Neutral,Last,,Kerrhylon
Dragonborn,Neutral,Last,,Kimbatuul
Dragonborn,Neutral,Last,,Linxakasendalor
Dragonborn,Neutral,Last,,Myastan
Dragonborn,Neutral,Last,,Nemmonis
Dragonborn,Neutral,Last,,Norixius
Dragonborn,Neutral,Last,,Ophinshtalajiir
Dragonborn,Neutral,Last,,Prexijandilin
Dragonborn,Neutral,Last,,Shestendeliath
Dragonborn,Neutral,Last,,Turnuroth
Dragonborn,Neutral,Last,,Verthisathurgiesh
Dragonborn,Neutral,Last,,Yarjerit
Dwarf,Male,First,,Adrik
Dwarf,Male,First,,Alberich
Dwarf,Male,First,,Baern
Dwarf,Male,First,,Barendd
Dwarf,Male,First,,Brottor
Dwarf,Male,First,,Bruenor
Dwarf,Male,First,,Oain
Dwarf,Male,First,,Oarrak
Dwarf,Male,First,,Oelg
Dwarf,Male,First,,Eberk
Dwarf,Male,First,,Einkil
Dwarf,Male,First,,Fargrim
Dwarf,Male,First,,Flint
Dwarf,Male,First,,Gardain
Dwarf,Male,First,,Harbek
Dwarf,Male,First,,Kildrak
Dwarf,Male,First,,Morgran
Dwarf,Male,First,,Orsik
Dwarf,Male,First,,Oskar
Dwarf,Male,First,,Rangrim
Dwarf,Male,First,,Rurik
Dwarf,Male,First,,Taklinn
Dwarf,Male,First,,Thoradin
Dwarf,Male,First,,Thorin
Dwarf,Male,First,,Tordek
Dwarf,Male,First,,Traubon
Dwarf,Male,First,,Travok
Dwarf,Male,First,,Ulfgar
Dwarf,Male,First,,Veit
Dwarf,Male,First,,Vondal
Dwarf,Female,First,,Amber
Dwarf,Female,First,,Artin
Dwarf,Female,First,,Audhild
Dwarf,Female,First,,Bardryn
Dwarf,Female,First,,Oagnal
Dwarf,Female,First,,Oiesa
Dwarf,Female,First,,Eldeth
Dwarf,Female,First,,Falkrunn
Dwarf,Female,First,,Finellen
Dwarf,Female,First,,Gunnloda
Dwarf,Female,First,,Gurdis
Dwarf,Female,First,,Helja
Dwarf,Female,First,,Hlin
Dwarf,Female,First,,Kathra
Dwarf,Female,First,,Kristryd
Dwarf,Female,First,,lide
Dwarf,Female,First,,Liftrasa
Dwarf,Female,First,,Mardred
Dwarf,Female,First,,Riswynn
Dwarf,Female,First,,Sannl
Dwarf,Female,First,,Torbera
Dwarf,Female,First,,Torgga
Dwarf,Female,First,,Vistra
Dwarf,Neutral,Last,,Balderk
Dwarf,Neutral,Last,,Battlehammer
Dwarf,Neutral,Last,,Brawnanvil
Dwarf,Neutral,Last,,Oankil
Dwarf,Neutral,Last,,Fireforge
Dwarf,Neutral,Last,,Frostbeard
Dwarf,Neutral,Last,,Gorunn
Dwarf,Neutral,Last,,Holderhek
Dwarf,Neutral,Last,,Ironfist
Dwarf,Neutral,Last,,Loderr
Dwarf,Neutral,Last,,Lutgehr
Dwarf,Neutral,Last,,Rumnaheim
Dwarf,Neutral,Last,,Strakeln
Dwarf,Neutral,Last,,Torunn
Dwarf,Neutral,Last,,Ungart
Elf,Neutral,First,Child,Ara
Elf,Neutral,First,Child,Bryn
Elf,Neutral,First,Child,Del
Elf,Neutral,First,Child,Eryn
Elf,Neutral,First,Child,Faen
Elf,Neutral,First,Child,Innil
Elf,Neutral,First,Child,Lael
Elf,Neutral,First,Child,Mella
Elf,Neutral,First,Child,Naill
Elf,Neutral,First,Child,Naeris
Elf,Neutral,First,Child,Phann
Elf,Neutral,First,Child,Rael
Elf,Neutral,First,Child,Rinn
Elf,Neutral,First,Child,Sai
Elf,Neutral,First,Child,Syllin
Elf,Neutral,First,Child,Thia
Elf,Neutral,First,Child,Vali
Elf,Male,First,,Adran
Elf,Male,First,,Aelar
Elf,Male,First,,Aramil
Elf,Male,First,,Arannis
Elf,Male,First,,Aust
Elf,Male,First,,Beiro
Elf,Male,First,,Berrian
Elf,Male,First,,Carrie
Elf,Male,First,,Enialis
Elf,Male,First,,Erdan
Elf,Male,First,,Erevan
Elf,Male,First,,Galinndan
Elf,Male,First,,Hadarai
Elf,Male,First,,Heian
Elf,Male,First,,Himo
Elf,Male,First,,Immeral
Elf,Male,First,,Ivellios
Elf,Male,First,,Laucian
Elf,Male,First,,Mindartis
Elf,Male,First,,Paelias
Elf,Male,First,,Peren
Elf,Male,First,,Quarion
Elf,Male,First,,Riardon
Elf,Male,First,,Rolen
Elf,Male,First,,Soveliss
Elf,Male,First,,Thamior
Elf,Male,First,,Tharivol
Elf,Male,First,,Theren
Elf,Male,First,,Varis
Elf,Female,First,,Adrie
Elf,Female,First,,Althaea
Elf,Female,First,,Anastrianna
Elf,Female,First,,Andraste
Elf,Female,First,,Antinua
Elf,Female,First,,Bethrynna
Elf,Female,First,,Birel
Elf,Female,First,,Caelynn
Elf,Female,First,,Orusilia
Elf,Female,First,,Enna
Elf,Female,First,,Felosial
Elf,Female,First,,Ielenia
Elf,Female,First,,Jelenneth
Elf,Female,First,,Keyleth
Elf,Female,First,,Leshanna
Elf,Female,First,,Lia
Elf,Female,First,,Meriele
Elf,Female,First,,Mialee
Elf,Female,First,,Naivara
Elf,Female,First,,Quelenna
Elf,Female,First,,Quillathe
Elf,Female,First,,Sariel
Elf,Female,First,,Shanairra
Elf,Female,First,,Shava
Elf,Female,First,,Silaqui
Elf,Female,First,,Theirastra
Elf,Female,First,,Thia
Elf,Female,First,,Vadania
Elf,Female,First,,Valanthe
Elf,Female,First,,Xanaphia
Elf,Neutral,Last,,Amakiir
Elf,Neutral,Last,,Amastacia
Elf,Neutral,Last,,Galanodel
Elf,Neutral,Last,,Holimion
Elf,Neutral,Last,,IIphelkiir
Elf,Neutral,Last,,Liadon
Elf,Neutral,Last,,Meliamne
Elf,Neutral,Last,,Nailo
Elf,Neutral,Last,,Siannodel
Elf,Neutral,Last,,Xiloscient
Elf,Neutral,Last,,Gemflower
Elf,Neutral,Last,,Starflower
Elf,Neutral,Last,,Moonwhisper
Elf,Neutral,Last,,Oiamonddew
Elf,Neutral,Last,,Gemblossom
Elf,Neutral,Last,,Silverfrond
Elf,Neutral,Last,,Oakenheel
Elf,Neutral,Last,,Nightbreeze
Elf,Neutral,Last,,Moonbrook
Elf,Neutral,Last,,Goldpetal
Gnome,Male,First,,Alston
Gnome,Male,First,,Alvyn
Gnome,Male,First,,Boddynock
Gnome,Male,First,,Brocc
Gnome,Male,First,,Burgell
Gnome,Male,First,,Dimble
Gnome,Male,First,,Eldon
Gnome,Male,First,,Erky
Gnome,Male,First,,Fonkin
Gnome,Male,First,,Frug
Gnome,Male,First,,Gerbo
Gnome,Male,First,,Gimble
Gnome,Male,First,,Glim
Gnome,Male,First,,Jebeddo
Gnome,Male,First,,Kellen
Gnome,Male,First,,Namfoodle
Gnome,Male,First,,Orryn
Gnome,Male,First,,Roondar
Gnome,Male,First,,Seebo
Gnome,Male,First,,Sindri
Gnome,Male,First,,Warryn
Gnome,Male,First,,Wrenn
Gnome,Male,First,,Zook
Gnome,Female,First,,Bimpnollin
Gnome,Female,First,,Breena
Gnome,Female,First,,Caramip
Gnome,Female,First,,Carlin
Gnome,Female,First,,Donella
Gnome,Female,First,,Duvamil
Gnome,Female,First,,Ella
Gnome,Female,First,,Ellyjobell
Gnome,Female,First,,Ellywick
Gnome,Female,First,,Lilli
Gnome,Female,First,,Loopmottin
Gnome,Female,First,,Lorilla
Gnome,Female,First,,Mardnab
Gnome,Female,First,,Nissa
Gnome,Female,First,,Nyx
Gnome,Female,First,,Oda
Gnome,Female,First,,Orla
Gnome,Female,First,,Roywyn
Gnome,Female,First,,Shamil
Gnome,Female,First,,Tana
Gnome,Female,First,,Waywocket
Gnome,Female,First,,Zanna
Gnome,Neutral,Last,,Beren
Gnome,Neutral,Last,,Daergel
Gnome,Neutral,Last,,Folkor
Gnome,Neutral,Last,,Garrick
Gnome,Neutral,Last,,Nackle
Gnome,Neutral,Last,,Murnig
Gnome,Neutral,Last,,Ningel
Gnome,Neutral,Last,,Raulnor
Gnome,Neutral,Last,,Scheppen
Gnome,Neutral,Last,,Timbers
Gnome,Neutral,Last,,Turen
Gnome,Neutral,Middle,Nickname,Aleslosh
Gnome,Neutral,Middle,Nickname,Ashhearlh
Gnome,Neutral,Middle,Nickname,Badger
Gnome,Neutral,Middle,Nickname,Cloak
Gnome,Neutral,Middle,Nickname,Doublelock
Gnome,Neutral,Middle,Nickname,Filchbatler
Gnome,Neutral,Middle,Nickname,Fnipper
Gnome,Neutral,Middle,Nickname,Ku
Gnome,Neutral,Middle,Nickname,Nim
Gnome,Neutral,Middle,Nickname,Oneshoe
Gnome,Neutral,Middle,Nickname,Pock
Gnome,Neutral,Middle,Nickname,Sparklegem
Gnome,Neutral,Middle,Nickname,Stumbleduck
Half-Orc,Male,First,,Deneh
Half-Orc,Male,First,,Feng
Half-Orc,Male,First,,Gell
Half-Orc,Male,First,,Henk
Half-Orc,Male,First,,Holg
Half-Orc,Male,First,,Imsh
Half-Orc,Male,First,,Kelh
Half-Orc,Male,First,,Krusk
Half-Orc,Male,First,,Mhurren
Half-Orc,Male,First,,Ront
Half-Orc,Male,First,,Shump
Half-Orc,Male,First,,Thokk
Half-Orc,Female,First,,Baggi
Half-Orc,Female,First,,Emen
Half-Orc,Female,First,,Engong
Half-Orc,Female,First,,Kansif
Half-Orc,Female,First,,Myev
Half-Orc,Female,First,,Neega
Half-Orc,Female,First,,Ovak
Half-Orc,Female,First,,Ownka
Half-Orc,Female,First,,Shaulha
Half-Orc,Female,First,,Sulha
Half-Orc,Female,First,,Vola
Half-Orc,Female,First,,Volen
Half-Orc,Female,First,,Yevelda
Halfling,Male,First,,Alton
Halfling,Male,First,,Ander
Halfling,Male,First,,Cade
Halfling,Male,First,,Corrin
Halfling,Male,First,,Eldon
Halfling,Male,First,,Errich
Halfling,Male,First,,Finnan
Halfling,Male,First,,Garret
Halfling,Male,First,,Lindal
Halfling,Male,First,,Lyle
Halfling,Male,First,,Merric
Halfling,Male,First,,Milo
Halfling,Male,First,,Osborn
Halfling,Male,First,,Perrin
Halfling,Male,First,,Reed
Halfling,Male,First,,Roscoe
Halfling,Male,First,,Wellby
Halfling,Female,First,,Andry
Halfling,Female,First,,Bree
Halfling,Female,First,,Callie
Halfling,Female,First,,Cora
Halfling,Female,First,,Euphemia
Halfling,Female,First,,Jillian
Halfling,Female,First,,Kithri
Halfling,Female,First,,Lavinia
Halfling,Female,First,,Lidda
Halfling,Female,First,,Merla
Halfling,Female,First,,Nedda
Halfling,Female,First,,Paela
Halfling,Female,First,,Portia
Halfling,Female,First,,Seraphina
Halfling,Female,First,,Shaena
Halfling,Female,First,,Trym
Halfling,Female,First,,Vani
Halfling,Female,First,,Verna
Halfling,Neutral,Last,,Brushgather
Halfling,Neutral,Last,,Goodbarrel
Halfling,Neutral,Last,,Greenbottle
Halfling,Neutral,Last,,High-hill
Halfling,Neutral,Last,,Hilltopple
Halfling,Neutral,Last,,Leagallow
Halfling,Neutral,Last,,Tealeaf
Halfling,Neutral,Last,,Thorngage
Halfling,Neutral,Last,,Tosscobble
Halfling,Neutral,Last,,Underbough
Human,Male,First,Calishite,Aseir
Human,Male,First,Calishite,Bardeid
Human,Male,First,Calishite,Haseid
Human,Male,First,Calishite,Khemed
Human,Male,First,Calishite,Mehmen
Human,Male,First,Calishite,Sudeiman
Human,Male,First,Calishite,Zasheir
Human,Male,First,Chondathan,Darvin
Human,Male,First,Chondathan,Dorn
Human,Male,First,Chondathan,Evendur
Human,Male,First,Chondathan,Gorstag
Human,Male,First,Chondathan,Grim
Human,Male,First,Chondathan,Helm
Human,Male,First,Chondathan,Malark
Human,Male,First,Chondathan,Morn
Human,Male,First,Chondathan,Randal
Human,Male,First,Chondathan,Sted
Human,Male,First,Damaran,Bar
Human,Male,First,Damaran,Fadei
Human,Male,First,Damaran,Glar
Human,Male,First,Damaran,Grigor
Human,Male,First,Damaran,Igan
Human,Male,First,Damaran,Ivor
Human,Male,First,Damaran,Kosef
Human,Male,First,Damaran,MivaI
Human,Male,First,Damaran,Orei
Human,Male,First,Damaran,Pavel
Human,Male,First,Damaran,Sergor
Human,Male,First,Illuskan,Ander
Human,Male,First,Illuskan,Blath
Human,Male,First,Illuskan,Bran
Human,Male,First,Illuskan,Frath
Human,Male,First,Illuskan,Geth
Human,Male,First,Illuskan,Lander
Human,Male,First,Illuskan,Luth
Human,Male,First,Illuskan,Malcer
Human,Male,First,Illuskan,Stor
Human,Male,First,Illuskan,Taman
Human,Male,First,Illuskan,Urth
Human,Male,First,Mulan,Aoth
Human,Male,First,Mulan,Bareris
Human,Male,First,Mulan,Ehput-Ki
Human,Male,First,Mulan,Kethoth
Human,Male,First,Mulan,Mumed
Human,Male,First,Mulan,Ramas
Human,Male,First,Mulan,So-Kehur
Human,Male,First,Mulan,Thazar-De
Human,Male,First,Mulan,Urhur
Human,Male,First,Rashemi,Borivik
Human,Male,First,Rashemi,Faurgarjandar
Human,Male,First,Rashemi,Kanithar
Human,Male,First,Rashemi,Madislak
Human,Male,First,Rashemi,Ralmevik
Human,Male,First,Rashemi,Shaumar
Human,Male,First,Rashemi,Vladislak
Human,Male,First,Shou,An
Human,Male,First,Shou,Chen
Human,Male,First,Shou,Chi
Human,Male,First,Shou,Fai
Human,Male,First,Shou,jiang
Human,Male,First,Shou,Jun
Human,Male,First,Shou,Lian
Human,Male,First,Shou,Long
Human,Male,First,Shou,Meng
Human,Male,First,Shou,On
Human,Male,First,Shou,Shan
Human,Male,First,Shou,Shui
Human,Male,First,Shou,Wen
Human,Male,First,Turami,Anton
Human,Male,First,Turami,Diero
Human,Male,First,Turami,Marcon
Human,Male,First,Turami,Pieron
Human,Male,First,Turami,Rimardo
Human,Male,First,Turami,Romero
Human,Male,First,Turami,Salazar
Human,Male,First,Turami,Umbero
Human,Female,First,Calishite,Alala
Human,Female,First,Calishite,Ceidil
Human,Female,First,Calishite,Hama
Human,Female,First,Calishite,Jasmal
Human,Female,First,Calishite,Meilil
Human,Female,First,Calishite,Seipora
Human,Female,First,Calishite,Yasheira
Human,Female,First,Calishite,Zasheida
Human,Neutral,Last,Calishite,Basha
Human,Neutral,Last,Calishite,Dumein
Human,Neutral,Last,Calishite,Jassan
Human,Neutral,Last,Calishite,Khalid
Human,Neutral,Last,Calishite,Moslana
Human,Neutral,Last,Calishite,Pashar
Human,Neutral,Last,Calishite,Rein
Human,Female,First,Chondathan,Arveene
Human,Female,First,Chondathan,Esvele
Human,Female,First,Chondathan,Jhessail
Human,Female,First,Chondathan,Kerri
Human,Female,First,Chondathan,Lureene
Human,Female,First,Chondathan,Miri
Human,Female,First,Chondathan,Rowan
Human,Female,First,Chondathan,Shandri
Human,Female,First,Chondathan,Tessele
Human,Neutral,Last,Chondathan,Amblecrown
Human,Neutral,Last,Chondathan,Buckman
Human,Neutral,Last,Chondathan,Dundragon
Human,Neutral,Last,Chondathan,Evenwood
Human,Neutral,Last,Chondathan,Greycastle
Human,Neutral,Last,Chondathan,Tallstag
Human,Female,First,Damaran,Alethra
Human,Female,First,Damaran,Kara
Human,Female,First,Damaran,Katernin
Human,Female,First,Damaran,Mara
Human,Female,First,Damaran,Natali
Human,Female,First,Damaran,Olma
Human,Female,First,Damaran,Tana
Human,Female,First,Damaran,Zora
Human,Neutral,Last,Damaran,Bersk
Human,Neutral,Last,Damaran,Chernin
Human,Neutral,Last,Damaran,Dotsk
Human,Neutral,Last,Damaran,Kulenov
Human,Neutral,Last,Damaran,Marsk
Human,Neutral,Last,Damaran,Nemetsk
Human,Neutral,Last,Damaran,Shemov
Human,Neutral,Last,Damaran,Starag
Human,Female,First,Illuskan,Amafrey
Human,Female,First,Illuskan,Betha
Human,Female,First,Illuskan,Cefrey
Human,Female,First,Illuskan,Kethra
Human,Female,First,Illuskan,Mara
Human,Female,First,Illuskan,Olga
Human,Female,First,Illuskan,Silifrey
Human,Female,First,Illuskan,Westra
Human,Neutral,Last,Illuskan,Brightwood
Human,Neutral,Last,Illuskan,Helder
Human,Neutral,Last,Illuskan,Hornraven
Human,Neutral,Last,Illuskan,Lackman
Human,Neutral,Last,Illuskan,Stormwind
Human,Neutral,Last,Illuskan,Windrivver
Human,Female,First,Mulan,Arizima
Human,Female,First,Mulan,Chathi
Human,Female,First,Mulan,Nephis
Human,Female,First,Mulan,Nulara
Human,Female,First,Mulan,Murithi
Human,Female,First,Mulan,Sefris
Human,Female,First,Mulan,Thola
Human,Female,First,Mulan,Umara
Human,Female,First,Mulan,Zolis
Human,Neutral,Last,Mulan,Ankhalab
Human,Neutral,Last,Mulan,Anskuld
Human,Neutral,Last,Mulan,Fezim
Human,Neutral,Last,Mulan,Hahpet
Human,Neutral,Last,Mulan,Nathandem
Human,Neutral,Last,Mulan,Sepret
Human,Neutral,Last,Mulan,Uuthrakt
Human,Female,First,Rashemi,Fyevarra
Human,Female,First,Rashemi,Hulmarra
Human,Female,First,Rashemi,Immith
Human,Female,First,Rashemi,Imzel
Human,Female,First,Rashemi,Navarra
Human,Female,First,Rashemi,Shevarra
Human,Female,First,Rashemi,Tammith
Human,Female,First,Rashemi,Yuldra
Human,Neutral,Last,Rashemi,Chergoba
Human,Neutral,Last,Rashemi,Dyernina
Human,Neutral,Last,Rashemi,Iltazyara
Human,Neutral,Last,Rashemi,Murnyethara
Human,Neutral,Last,Rashemi,Stayanoga
Human,Neutral,Last,Rashemi,Ulmokina
Human,Female,First,Shou,Bai
Human,Female,First,Shou,Chao
Human,Female,First,Shou,Jia
Human,Female,First,Shou,Lei
Human,Female,First,Shou,Mei
Human,Female,First,Shou,Qiao
Human,Female,First,Shou,Shui
Human,Female,First,Shou,Tai
Human,Neutral,Last,Shou,Chien
Human,Neutral,Last,Shou,Huang
Human,Neutral,Last,Shou,Kao
Human,Neutral,Last,Shou,Kung
Human,Neutral,Last,Shou,Lao
Human,Neutral,Last,Shou,Ling
Human,Neutral,Last,Shou,Mei
Human,Neutral,Last,Shou,Pin
Human,Neutral,Last,Shou,Shin
Human,Neutral,Last,Shou,Sum
Human,Neutral,Last,Shou,Tan
Human,Neutral,Last,Shou,Wan
Human,Female,First,Turami,Balama
Human,Female,First,Turami,Dona
Human,Female,First,Turami,Faila
Human,Female,First,Turami,Jalana
Human,Female,First,Turami,Luisa
Human,Female,First,Turami,Marta
Human,Female,First,Turami,Quara
Human,Female,First,Turami,Selise
Human,Female,First,Turami,Vonda
Human,Neutral,Last,Turami,Agosto
Human,Neutral,Last,Turami,Astorio
Human,Neutral,Last,Turami,Calabra
Human,Neutral,Last,Turami,Domine
Human,Neutral,Last,Turami,Falone
Human,Neutral,Last,Turami,Marivaldi
Human,Neutral,Last,Turami,Pisacar
Human,Neutral,Last,Turami,Ramondo
Tiefling,Male,First,,Akmenos
Tiefling,Male,First,,Amnon
Tiefling,Male,First,,Barakas
Tiefling,Male,First,,Damakos
Tiefling,Male,First,,Ekemon
Tiefling,Male,First,,lados
Tiefling,Male,First,,Kairon
Tiefling,Male,First,,Leucis
Tiefling,Male,First,,Melech
Tiefling,Male,First,,Mordai
Tiefling,Male,First,,Morthos
Tiefling,Male,First,,Pelaios
Tiefling,Male,First,,Skamos
Tiefling,Male,First,,Therai
Tiefling,Female,First,,Akta
Tiefling,Female,First,,Anakis
Tiefling,Female,First,,Bryseis
Tiefling,Female,First,,Criella
Tiefling,Female,First,,Damaia
Tiefling,Female,First,,Ea
Tiefling,Female,First,,Kallista
Tiefling,Female,First,,Lerissa
Tiefling,Female,First,,Makaria
Tiefling,Female,First,,Nemeia
Tiefling,Female,First,,Orianna
Tiefling,Female,First,,Phelaia
Tiefling,Female,First,,Rieta
Tiefling,Neutral,First,Virtue,Art
Tiefling,Neutral,First,Virtue,Carrion
Tiefling,Neutral,First,Virtue,Chant
Tiefling,Neutral,First,Virtue,Creed
Tiefling,Neutral,First,Virtue,Despair
Tiefling,Neutral,First,Virtue,Excellence
Tiefling,Neutral,First,Virtue,Fear
Tiefling,Neutral,First,Virtue,Glory
Tiefling,Neutral,First,Virtue,Hope
Tiefling,Neutral,First,Virtue,Ideal
Tiefling,Neutral,First,Virtue,Music
Tiefling,Neutral,First,Virtue,Nowhere
Tiefling,Neutral,First,Virtue,Open
Tiefling,Neutral,First,Virtue,Poetry
Tiefling,Neutral,First,Virtue,Quest
Tiefling,Neutral,First,Virtue,Random
Tiefling,Neutral,First,Virtue,Reverence
Tiefling,Neutral,First,Virtue,Sorrow
Tiefling,Neutral,First,Virtue,Temerily
Tiefling,Neutral,First,Virtue,Torment
Tiefling,Neutral,First,Virtue,Weary
